"sale_date","isbn","COUNT"
"4/1/2193","989-28-79-74374-1",2
"4/1/2193","989-28-79-55824-6",1
"4/1/2193","989-28-79-71565-6",1
"4/1/2193","989-28-3705-763-7",1
"4/1/2193","989-28-3705-222-9",3
"4/1/2193","989-28-79-23015-9",1
"4/1/2193","989-28-79-42728-3",1
"4/1/2193","989-28-229-1404-4",1
"4/1/2193","989-28-79-55752-2",1
"4/1/2193","989-28-3705-007-2",3
"4/1/2193","989-28-3705-592-3",1
"5/1/2193","989-28-79-82197-5",4
"5/1/2193","989-28-3705-007-2",5
"5/1/2193","989-28-3705-054-6",1
"5/1/2193","989-28-3705-987-7",5
"5/1/2193","989-28-3705-966-2",1
"5/1/2193","989-28-79-45675-7",7
"5/1/2193","989-28-79-04510-4",2
"5/1/2193","989-28-79-30536-9",1
"5/1/2193","989-28-79-27078-0",1
"5/1/2193","989-28-79-11297-4",2
"5/1/2193","989-28-654-2017-5",1
"5/1/2193","989-28-79-69807-2",12
"5/1/2193","989-28-79-82749-6",2
"5/1/2193","989-28-79-13871-4",10
"5/1/2193","989-28-79-82125-8",4
"5/1/2193","989-28-654-2620-7",1
"5/1/2193","989-28-229-6632-6",4
"5/1/2193","989-28-229-5891-8",2
"5/1/2193","989-28-229-7592-2",3
"5/1/2193","989-28-229-0197-6",1
"5/1/2193","989-28-79-68089-3",1
"5/1/2193","989-28-79-74374-1",11
"5/1/2193","989-28-79-13801-1",7
"5/1/2193","989-28-79-23023-4",10
"5/1/2193","989-28-79-71565-6",2
"5/1/2193","989-28-79-26824-4",4
"5/1/2193","989-28-79-55752-2",1
"5/1/2193","989-28-79-16533-8",1
"5/1/2193","989-28-79-91028-0",2
"5/1/2193","989-28-79-40897-8",3
"5/1/2193","989-28-79-55824-6",1
"5/1/2193","989-28-79-51397-9",1
"5/1/2193","989-28-79-44730-4",1
"5/1/2193","989-28-3705-492-6",3
"5/1/2193","989-28-3705-222-9",10
"5/1/2193","989-28-79-14379-4",1
"5/1/2193","989-28-79-03683-6",1
"5/1/2193","989-28-3705-583-1",1
"5/1/2193","989-28-3705-152-9",1
"5/1/2193","989-28-79-21991-8",1
"5/1/2193","989-28-229-1404-4",1
"5/1/2193","989-28-79-16826-1",1
"6/1/2193","989-28-79-82197-5",1
"6/1/2193","989-28-3705-583-1",4
"6/1/2193","989-28-3705-007-2",6
"6/1/2193","989-28-3705-987-7",2
"6/1/2193","989-28-3705-966-2",1
"6/1/2193","989-28-79-45675-7",4
"6/1/2193","989-28-79-86624-2",1
"6/1/2193","989-28-79-70597-8",1
"6/1/2193","989-28-79-13871-4",4
"6/1/2193","989-28-79-05670-4",1
"6/1/2193","989-28-79-69807-2",2
"6/1/2193","989-28-79-82749-6",2
"6/1/2193","989-28-229-3157-7",1
"6/1/2193","989-28-229-1404-4",5
"6/1/2193","989-28-229-9769-6",4
"6/1/2193","989-28-229-7592-2",5
"6/1/2193","989-28-229-6632-6",5
"6/1/2193","989-28-79-40897-8",5
"6/1/2193","989-28-79-13801-1",10
"6/1/2193","989-28-79-23023-4",15
"6/1/2193","989-28-79-74374-1",8
"6/1/2193","989-28-79-26824-4",6
"6/1/2193","989-28-79-55752-2",1
"6/1/2193","989-28-79-68089-3",3
"6/1/2193","989-28-79-71565-6",3
"6/1/2193","989-28-79-91028-0",3
"6/1/2193","989-28-79-51397-9",1
"6/1/2193","989-28-79-43574-5",2
"6/1/2193","989-28-3705-222-9",5
"6/1/2193","989-28-3705-492-6",4
"6/1/2193","989-28-79-22871-2",1
"6/1/2193","989-28-79-27078-0",1
"6/1/2193","989-28-654-2017-5",2
"6/1/2193","989-28-79-21991-8",1
"6/1/2193","989-28-79-11297-4",1
"7/1/2193","989-28-3705-987-7",2
"7/1/2193","989-28-3705-007-2",7
"7/1/2193","989-28-79-30536-9",1
"7/1/2193","989-28-79-05638-4",1
"7/1/2193","989-28-79-82197-5",1
"7/1/2193","989-28-79-42728-3",1
"7/1/2193","989-28-79-45675-7",4
"7/1/2193","989-28-79-11297-4",1
"7/1/2193","989-28-79-69807-2",2
"7/1/2193","989-28-79-13871-4",4
"7/1/2193","989-28-79-05670-4",2
"7/1/2193","989-28-654-3988-7",1
"7/1/2193","989-28-229-5891-8",1
"7/1/2193","989-28-229-9769-6",1
"7/1/2193","989-28-79-23023-4",2
"7/1/2193","989-28-79-40897-8",1
"7/1/2193","989-28-79-13801-1",5
"7/1/2193","989-28-79-74374-1",2
"7/1/2193","989-28-79-71565-6",2
"7/1/2193","989-28-79-68089-3",3
"7/1/2193","989-28-79-03683-6",1
"7/1/2193","989-28-3705-222-9",4
"7/1/2193","989-28-229-7592-2",2
"7/1/2193","989-28-79-91028-0",2
"7/1/2193","989-28-79-22871-2",1
"7/1/2193","989-28-3705-649-4",2
"7/1/2193","989-28-3705-583-1",1
"7/1/2193","989-28-654-0127-3",1
"7/1/2193","989-28-229-6632-6",1
"7/1/2193","989-28-229-0197-6",1
"8/1/2193","989-28-79-82197-5",2
"8/1/2193","989-28-3705-007-2",5
"8/1/2193","989-28-79-86624-2",1
"8/1/2193","989-28-79-22871-2",2
"8/1/2193","989-28-79-27078-0",1
"8/1/2193","989-28-79-61125-5",1
"8/1/2193","989-28-79-01991-4",1
"8/1/2193","989-28-79-69807-2",8
"8/1/2193","989-28-79-13871-4",4
"8/1/2193","989-28-654-0047-4",1
"8/1/2193","989-28-229-5891-8",1
"8/1/2193","989-28-229-6632-6",2
"8/1/2193","989-28-79-23023-4",6
"8/1/2193","989-28-79-74374-1",3
"8/1/2193","989-28-79-13801-1",7
"8/1/2193","989-28-79-40897-8",1
"8/1/2193","989-28-79-68089-3",1
"8/1/2193","989-28-79-91028-0",1
"8/1/2193","989-28-3705-492-6",2
"8/1/2193","989-28-79-03683-6",2
"8/1/2193","989-28-79-26824-4",1
"8/1/2193","989-28-3705-987-7",1
"8/1/2193","989-28-79-05670-4",1
"8/1/2193","989-28-654-2620-7",1
"8/1/2193","989-28-229-1404-4",1
"8/1/2193","989-28-229-3157-7",1
"8/1/2193","989-28-229-9769-6",1
"9/1/2193","989-28-3705-007-2",2
"9/1/2193","989-28-3705-369-1",1
"9/1/2193","989-28-3705-138-3",1
"9/1/2193","989-28-3705-987-7",1
"9/1/2193","989-28-79-18127-7",2
"9/1/2193","989-28-79-07610-8",1
"9/1/2193","989-28-79-45675-7",1
"9/1/2193","989-28-79-70597-8",1
"9/1/2193","989-28-654-5018-9",1
"9/1/2193","989-28-79-05670-4",2
"9/1/2193","989-28-79-13871-4",2
"9/1/2193","989-28-229-3157-7",2
"9/1/2193","989-28-229-1404-4",3
"9/1/2193","989-28-229-9769-6",1
"9/1/2193","989-28-229-7592-2",2
"9/1/2193","989-28-79-26824-4",2
"9/1/2193","989-28-79-13801-1",5
"9/1/2193","989-28-79-71565-6",2
"9/1/2193","989-28-79-68089-3",2
"9/1/2193","989-28-79-74374-1",5
"9/1/2193","989-28-79-40897-8",2
"9/1/2193","989-28-79-51397-9",1
"9/1/2193","989-28-79-55752-2",1
"9/1/2193","989-28-79-23023-4",2
"9/1/2193","989-28-3705-222-9",1
"9/1/2193","989-28-79-03683-6",2
"9/1/2193","989-28-79-14379-4",1
"9/1/2193","989-28-229-6632-6",2
"9/1/2193","989-28-79-30536-9",1
"9/1/2193","989-28-79-32105-5",1
"9/1/2193","989-28-79-55824-6",1
"10/1/2193","989-28-3705-007-2",2
"10/1/2193","989-28-3705-054-6",1
"10/1/2193","989-28-3705-583-1",2
"10/1/2193","989-28-3705-152-9",1
"10/1/2193","989-28-79-82197-5",1
"10/1/2193","989-28-79-82749-6",2
"10/1/2193","989-28-79-69807-2",2
"10/1/2193","989-28-79-05670-4",2
"10/1/2193","989-28-229-6632-6",5
"10/1/2193","989-28-229-1404-4",2
"10/1/2193","989-28-229-7592-2",5
"10/1/2193","989-28-229-0197-6",1
"10/1/2193","989-28-229-5891-8",1
"10/1/2193","989-28-229-9769-6",1
"10/1/2193","989-28-79-23023-4",8
"10/1/2193","989-28-79-13801-1",3
"10/1/2193","989-28-79-74374-1",3
"10/1/2193","989-28-79-71565-6",2
"10/1/2193","989-28-79-26824-4",3
"10/1/2193","989-28-79-68089-3",1
"10/1/2193","989-28-3705-492-6",1
"10/1/2193","989-28-3705-222-9",2
"10/1/2193","989-28-79-55824-6",1
"10/1/2193","989-28-3705-987-7",1
"10/1/2193","989-28-79-32105-5",1
"10/1/2193","989-28-79-91028-0",1
"11/1/2193","989-28-3705-987-7",2
"11/1/2193","989-28-3705-054-6",2
"11/1/2193","989-28-3705-007-2",2
"11/1/2193","989-28-3705-592-3",1
"11/1/2193","989-28-79-27078-0",1
"11/1/2193","989-28-79-18127-7",1
"11/1/2193","989-28-79-05638-4",1
"11/1/2193","989-28-79-82197-5",1
"11/1/2193","989-28-79-45675-7",1
"11/1/2193","989-28-654-5018-9",1
"11/1/2193","989-28-79-13871-4",6
"11/1/2193","989-28-79-69807-2",4
"11/1/2193","989-28-79-05670-4",3
"11/1/2193","989-28-79-82125-8",2
"11/1/2193","989-28-654-5771-3",3
"11/1/2193","989-28-229-6632-6",2
"11/1/2193","989-28-229-5891-8",1
"11/1/2193","989-28-229-9769-6",2
"11/1/2193","989-28-229-1404-4",3
"11/1/2193","989-28-229-7592-2",1
"11/1/2193","989-28-79-23023-4",4
"11/1/2193","989-28-79-26824-4",1
"11/1/2193","989-28-79-74374-1",7
"11/1/2193","989-28-79-71565-6",1
"11/1/2193","989-28-79-13801-1",6
"11/1/2193","989-28-79-40897-8",1
"11/1/2193","989-28-3705-222-9",2
"11/1/2193","989-28-3705-492-6",1
"11/1/2193","989-28-79-03683-6",2
"11/1/2193","989-28-79-01991-4",1
"11/1/2193","989-28-79-36485-4",1
"11/1/2193","989-28-79-51397-9",1
"12/1/2193","989-28-3705-007-2",12
"12/1/2193","989-28-3705-136-9",1
"12/1/2193","989-28-3705-152-9",4
"12/1/2193","989-28-3705-138-3",2
"12/1/2193","989-28-3705-987-7",2
"12/1/2193","989-28-79-30536-9",2
"12/1/2193","989-28-79-45675-7",7
"12/1/2193","989-28-79-16826-1",2
"12/1/2193","989-28-79-01991-4",1
"12/1/2193","989-28-79-86624-2",2
"12/1/2193","989-28-79-11297-4",1
"12/1/2193","989-28-79-82197-5",3
"12/1/2193","989-28-79-42728-3",1
"12/1/2193","989-28-79-69807-2",12
"12/1/2193","989-28-79-82749-6",2
"12/1/2193","989-28-79-13871-4",10
"12/1/2193","989-28-79-05670-4",7
"12/1/2193","989-28-654-8573-0",1
"12/1/2193","989-28-654-9484-8",1
"12/1/2193","989-28-229-7592-2",1
"12/1/2193","989-28-229-9769-6",2
"12/1/2193","989-28-229-6632-6",4
"12/1/2193","989-28-229-1404-4",1
"12/1/2193","989-28-79-23023-4",9
"12/1/2193","989-28-79-13801-1",13
"12/1/2193","989-28-79-91028-0",2
"12/1/2193","989-28-79-26824-4",7
"12/1/2193","989-28-79-74374-1",5
"12/1/2193","989-28-79-71565-6",3
"12/1/2193","989-28-79-55824-6",1
"12/1/2193","989-28-79-40897-8",1
"12/1/2193","989-28-79-68089-3",2
"12/1/2193","989-28-79-03683-6",2
"12/1/2193","989-28-3705-222-9",4
"12/1/2193","989-28-3705-492-6",1
"12/1/2193","989-28-79-21991-8",1
"12/1/2193","989-28-79-04510-4",1
"13/1/2193","989-28-79-82197-5",2
"13/1/2193","989-28-3705-987-7",5
"13/1/2193","989-28-3705-138-3",2
"13/1/2193","989-28-3705-007-2",7
"13/1/2193","989-28-3705-592-3",1
"13/1/2193","989-28-79-16826-1",1
"13/1/2193","989-28-79-86624-2",1
"13/1/2193","989-28-79-22871-2",2
"13/1/2193","989-28-79-87459-9",1
"13/1/2193","989-28-79-45675-7",3
"13/1/2193","989-28-79-04510-4",2
"13/1/2193","989-28-654-5018-9",2
"13/1/2193","989-28-79-05670-4",3
"13/1/2193","989-28-79-82749-6",2
"13/1/2193","989-28-229-7592-2",6
"13/1/2193","989-28-229-5891-8",2
"13/1/2193","989-28-229-9769-6",6
"13/1/2193","989-28-229-6632-6",4
"13/1/2193","989-28-229-1404-4",4
"13/1/2193","989-28-229-0197-6",1
"13/1/2193","989-28-229-3157-7",1
"13/1/2193","989-28-79-74374-1",10
"13/1/2193","989-28-79-40897-8",2
"13/1/2193","989-28-79-13801-1",10
"13/1/2193","989-28-79-23023-4",6
"13/1/2193","989-28-79-91028-0",3
"13/1/2193","989-28-79-16808-7",1
"13/1/2193","989-28-79-71565-6",3
"13/1/2193","989-28-79-68089-3",5
"13/1/2193","989-28-79-55752-2",1
"13/1/2193","989-28-79-26824-4",2
"13/1/2193","989-28-3705-222-9",5
"13/1/2193","989-28-3705-205-2",1
"13/1/2193","989-28-79-23015-9",1
"13/1/2193","989-28-3705-492-6",1
"13/1/2193","989-28-79-03683-6",1
"13/1/2193","989-28-3705-152-9",1
"14/1/2193","989-28-79-82197-5",3
"14/1/2193","989-28-3705-007-2",5
"14/1/2193","989-28-3705-966-2",1
"14/1/2193","989-28-3705-987-7",2
"14/1/2193","989-28-79-45675-7",1
"14/1/2193","989-28-79-21991-8",2
"14/1/2193","989-28-79-30536-9",1
"14/1/2193","989-28-79-11297-4",1
"14/1/2193","989-28-79-61125-5",1
"14/1/2193","989-28-79-01991-4",1
"14/1/2193","989-28-79-86624-2",1
"14/1/2193","989-28-79-22871-2",1
"14/1/2193","989-28-79-05670-4",3
"14/1/2193","989-28-79-69807-2",2
"14/1/2193","989-28-229-9769-6",2
"14/1/2193","989-28-229-7592-2",2
"14/1/2193","989-28-229-1404-4",2
"14/1/2193","989-28-229-0197-6",1
"14/1/2193","989-28-79-55824-6",2
"14/1/2193","989-28-79-13801-1",6
"14/1/2193","989-28-79-23023-4",4
"14/1/2193","989-28-79-74374-1",3
"14/1/2193","989-28-79-40897-8",2
"14/1/2193","989-28-79-71565-6",3
"14/1/2193","989-28-79-51397-9",1
"14/1/2193","989-28-79-68089-3",1
"14/1/2193","989-28-3705-492-6",2
"14/1/2193","989-28-3705-222-9",2
"14/1/2193","989-28-3705-152-9",1
"14/1/2193","989-28-79-36485-4",2
"14/1/2193","989-28-3705-136-9",1
"15/1/2193","989-28-79-82197-5",3
"15/1/2193","989-28-3705-987-7",3
"15/1/2193","989-28-79-45675-7",3
"15/1/2193","989-28-79-07610-8",1
"15/1/2193","989-28-79-30536-9",1
"15/1/2193","989-28-79-21991-8",1
"15/1/2193","989-28-654-0127-3",1
"15/1/2193","989-28-79-82749-6",6
"15/1/2193","989-28-79-13871-4",4
"15/1/2193","989-28-79-82125-8",2
"15/1/2193","989-28-79-05670-4",2
"15/1/2193","989-28-79-69807-2",2
"15/1/2193","989-28-229-5891-8",1
"15/1/2193","989-28-229-9769-6",2
"15/1/2193","989-28-229-7592-2",1
"15/1/2193","989-28-79-13801-1",5
"15/1/2193","989-28-79-23023-4",5
"15/1/2193","989-28-79-91028-0",2
"15/1/2193","989-28-79-40897-8",3
"15/1/2193","989-28-79-74374-1",3
"15/1/2193","989-28-3705-222-9",1
"15/1/2193","989-28-3705-492-6",1
"15/1/2193","989-28-229-1404-4",1
"15/1/2193","989-28-79-16533-8",1
"15/1/2193","989-28-79-01991-4",1
"15/1/2193","989-28-654-2620-7",1
"15/1/2193","989-28-229-3157-7",2
"15/1/2193","989-28-79-68089-3",1
"15/1/2193","989-28-229-0197-6",1
"15/1/2193","989-28-79-55824-6",1
"15/1/2193","989-28-79-18127-7",1
"15/1/2193","989-28-3705-607-4",1
"16/1/2193","989-28-79-82197-5",3
"16/1/2193","989-28-79-13801-1",8
"16/1/2193","989-28-79-68089-3",1
"16/1/2193","989-28-79-23023-4",1
"16/1/2193","989-28-79-55824-6",1
"16/1/2193","989-28-79-74374-1",3
"16/1/2193","989-28-3705-492-6",1
"16/1/2193","989-28-3705-222-9",2
"16/1/2193","989-28-79-14379-4",2
"16/1/2193","989-28-79-43841-8",1
"16/1/2193","989-28-3705-633-3",1
"16/1/2193","989-28-229-9769-6",1
"16/1/2193","989-28-79-71565-6",1
"16/1/2193","989-28-229-0197-6",2
"16/1/2193","989-28-79-55752-2",2
"16/1/2193","989-28-79-91028-0",1
"16/1/2193","989-28-79-45675-7",3
"16/1/2193","989-28-79-03683-6",1
"16/1/2193","989-28-3705-007-2",3
"16/1/2193","989-28-3705-966-2",1
"16/1/2193","989-28-3705-054-6",1
"16/1/2193","989-28-3705-987-7",1
"16/1/2193","989-28-3705-136-9",1
"16/1/2193","989-28-3705-649-4",1
"16/1/2193","989-28-79-01991-4",1
"16/1/2193","989-28-79-11297-4",1
"16/1/2193","989-28-79-30536-9",1
"16/1/2193","989-28-79-13871-4",4
"16/1/2193","989-28-79-82749-6",2
"16/1/2193","989-28-79-69807-2",4
"16/1/2193","989-28-79-05670-4",2
"16/1/2193","989-28-229-7592-2",2
"16/1/2193","989-28-229-6632-6",2
"16/1/2193","989-28-229-3157-7",1
"17/1/2193","989-28-3705-369-1",1
"17/1/2193","989-28-3705-007-2",3
"17/1/2193","989-28-3705-138-3",1
"17/1/2193","989-28-3705-987-7",1
"17/1/2193","989-28-3705-775-0",1
"17/1/2193","989-28-79-11297-4",2
"17/1/2193","989-28-79-27078-0",1
"17/1/2193","989-28-79-82197-5",1
"17/1/2193","989-28-79-16826-1",1
"17/1/2193","989-28-79-45675-7",1
"17/1/2193","989-28-79-82749-6",4
"17/1/2193","989-28-79-05670-4",3
"17/1/2193","989-28-79-82125-8",2
"17/1/2193","989-28-79-13871-4",2
"17/1/2193","989-28-229-9769-6",1
"17/1/2193","989-28-229-6632-6",3
"17/1/2193","989-28-229-3157-7",1
"17/1/2193","989-28-229-1404-4",1
"17/1/2193","989-28-229-5891-8",2
"17/1/2193","989-28-229-7592-2",1
"17/1/2193","989-28-79-74374-1",5
"17/1/2193","989-28-79-91028-0",3
"17/1/2193","989-28-79-51397-9",2
"17/1/2193","989-28-79-13801-1",3
"17/1/2193","989-28-79-26824-4",2
"17/1/2193","989-28-79-68089-3",3
"17/1/2193","989-28-3705-222-9",3
"17/1/2193","989-28-3705-492-6",2
"17/1/2193","989-28-79-32105-5",1
"17/1/2193","989-28-79-03683-6",1
"18/1/2193","989-28-79-82197-5",2
"18/1/2193","989-28-3705-007-2",4
"18/1/2193","989-28-3705-987-7",2
"18/1/2193","989-28-3705-138-3",2
"18/1/2193","989-28-79-30536-9",2
"18/1/2193","989-28-79-21991-8",1
"18/1/2193","989-28-79-69807-2",12
"18/1/2193","989-28-79-82749-6",4
"18/1/2193","989-28-79-05670-4",1
"18/1/2193","989-28-79-22562-9",1
"18/1/2193","989-28-654-0047-4",1
"18/1/2193","989-28-229-1404-4",5
"18/1/2193","989-28-229-7592-2",3
"18/1/2193","989-28-229-0197-6",1
"18/1/2193","989-28-229-9769-6",4
"18/1/2193","989-28-79-23023-4",5
"18/1/2193","989-28-79-71565-6",3
"18/1/2193","989-28-79-91028-0",2
"18/1/2193","989-28-79-13801-1",7
"18/1/2193","989-28-79-74374-1",2
"18/1/2193","989-28-3705-492-6",2
"18/1/2193","989-28-3705-222-9",2
"18/1/2193","989-28-79-18127-7",1
"18/1/2193","989-28-79-45675-7",1
"18/1/2193","989-28-79-55824-6",1
"18/1/2193","989-28-79-68089-3",1
"18/1/2193","989-28-654-6930-3",1
"18/1/2193","989-28-79-03683-6",1
"18/1/2193","989-28-79-16808-7",1
"19/1/2193","989-28-3705-136-9",1
"19/1/2193","989-28-3705-007-2",12
"19/1/2193","989-28-3705-966-2",1
"19/1/2193","989-28-3705-987-7",7
"19/1/2193","989-28-3705-583-1",2
"19/1/2193","989-28-3705-649-4",3
"19/1/2193","989-28-3705-138-3",2
"19/1/2193","989-28-3705-152-9",1
"19/1/2193","989-28-79-45675-7",3
"19/1/2193","989-28-79-21991-8",2
"19/1/2193","989-28-79-61125-5",1
"19/1/2193","989-28-79-86624-2",2
"19/1/2193","989-28-79-82197-5",1
"19/1/2193","989-28-79-22871-2",1
"19/1/2193","989-28-79-07610-8",1
"19/1/2193","989-28-79-04510-4",1
"19/1/2193","989-28-654-7965-4",1
"19/1/2193","989-28-79-13871-4",6
"19/1/2193","989-28-79-69807-2",22
"19/1/2193","989-28-79-05670-4",6
"19/1/2193","989-28-79-82749-6",2
"19/1/2193","989-28-79-22562-9",1
"19/1/2193","989-28-79-82125-8",2
"19/1/2193","989-28-654-5771-3",3
"19/1/2193","989-28-654-4370-9",1
"19/1/2193","989-28-654-6033-1",1
"19/1/2193","989-28-229-9769-6",5
"19/1/2193","989-28-229-0197-6",1
"19/1/2193","989-28-229-7592-2",4
"19/1/2193","989-28-229-5891-8",1
"19/1/2193","989-28-229-6632-6",3
"19/1/2193","989-28-229-1404-4",3
"19/1/2193","989-28-79-23023-4",14
"19/1/2193","989-28-79-40897-8",2
"19/1/2193","989-28-79-55824-6",1
"19/1/2193","989-28-79-68089-3",3
"19/1/2193","989-28-79-26824-4",7
"19/1/2193","989-28-79-13801-1",15
"19/1/2193","989-28-79-71565-6",5
"19/1/2193","989-28-79-74374-1",12
"19/1/2193","989-28-79-91028-0",2
"19/1/2193","989-28-79-55752-2",2
"19/1/2193","989-28-79-43574-5",1
"19/1/2193","989-28-79-36485-4",1
"19/1/2193","989-28-3705-492-6",5
"19/1/2193","989-28-3705-222-9",4
"19/1/2193","989-28-79-03683-6",1
"19/1/2193","989-28-79-70597-8",1
"19/1/2193","989-28-229-3157-7",1
"19/1/2193","989-28-3705-592-3",1
"20/1/2193","989-28-3705-966-2",1
"20/1/2193","989-28-3705-136-9",1
"20/1/2193","989-28-3705-007-2",12
"20/1/2193","989-28-3705-138-3",2
"20/1/2193","989-28-3705-592-3",4
"20/1/2193","989-28-3705-987-7",1
"20/1/2193","989-28-3705-583-1",1
"20/1/2193","989-28-79-01991-4",1
"20/1/2193","989-28-79-04510-4",2
"20/1/2193","989-28-79-11297-4",3
"20/1/2193","989-28-79-45675-7",7
"20/1/2193","989-28-79-82197-5",2
"20/1/2193","989-28-79-70597-8",1
"20/1/2193","989-28-79-86624-2",1
"20/1/2193","989-28-79-22871-2",1
"20/1/2193","989-28-79-16826-1",1
"20/1/2193","989-28-79-82749-6",4
"20/1/2193","989-28-79-69807-2",6
"20/1/2193","989-28-79-82125-8",2
"20/1/2193","989-28-79-05670-4",8
"20/1/2193","989-28-79-13871-4",8
"20/1/2193","989-28-79-22562-9",1
"20/1/2193","989-28-229-6632-6",7
"20/1/2193","989-28-229-7592-2",4
"20/1/2193","989-28-229-1404-4",4
"20/1/2193","989-28-229-9769-6",6
"20/1/2193","989-28-229-0197-6",2
"20/1/2193","989-28-229-3157-7",3
"20/1/2193","989-28-229-5891-8",3
"20/1/2193","989-28-79-91028-0",5
"20/1/2193","989-28-79-23023-4",9
"20/1/2193","989-28-79-68089-3",6
"20/1/2193","989-28-79-13801-1",6
"20/1/2193","989-28-79-71565-6",9
"20/1/2193","989-28-79-74374-1",8
"20/1/2193","989-28-79-26824-4",4
"20/1/2193","989-28-79-16533-8",1
"20/1/2193","989-28-79-40897-8",2
"20/1/2193","989-28-79-16808-7",1
"20/1/2193","989-28-3705-492-6",7
"20/1/2193","989-28-3705-222-9",3
"20/1/2193","989-28-3705-054-6",1
"20/1/2193","989-28-79-51397-9",2
"20/1/2193","989-28-79-32105-5",1
"21/1/2193","989-28-79-82197-5",4
"21/1/2193","989-28-3705-054-6",2
"21/1/2193","989-28-3705-007-2",9
"21/1/2193","989-28-3705-592-3",1
"21/1/2193","989-28-3705-987-7",4
"21/1/2193","989-28-3705-583-1",1
"21/1/2193","989-28-3705-649-4",1
"21/1/2193","989-28-79-45675-7",1
"21/1/2193","989-28-79-86624-2",1
"21/1/2193","989-28-79-32105-5",1
"21/1/2193","989-28-79-11297-4",4
"21/1/2193","989-28-79-61125-5",1
"21/1/2193","989-28-79-16826-1",1
"21/1/2193","989-28-654-3899-6",1
"21/1/2193","989-28-654-5018-9",1
"21/1/2193","989-28-79-13871-4",8
"21/1/2193","989-28-79-69807-2",16
"21/1/2193","989-28-79-82125-8",2
"21/1/2193","989-28-79-82749-6",4
"21/1/2193","989-28-654-6033-1",1
"21/1/2193","989-28-654-9826-6",1
"21/1/2193","989-28-229-1404-4",6
"21/1/2193","989-28-229-0197-6",3
"21/1/2193","989-28-229-6632-6",2
"21/1/2193","989-28-229-7592-2",2
"21/1/2193","989-28-229-5891-8",1
"21/1/2193","989-28-79-23023-4",18
"21/1/2193","989-28-79-71565-6",6
"21/1/2193","989-28-79-13801-1",9
"21/1/2193","989-28-79-26824-4",4
"21/1/2193","989-28-79-74374-1",9
"21/1/2193","989-28-79-68089-3",7
